Link Name,Name and Date,Website Address,Article Link is From
Ethics of care,Wikipedia. 2016,https://en.wikipedia.org/wiki/Ethics_of_care,Other moral theories
Moral uncertainty - towards a solution?,"Bostrom, Nick. 2009",http://www.overcomingbias.com/2009/01/moral-uncertainty-towards-a-solution.html,Moral uncertainty
In defence of my favourite theory,"Gustafsson, Johan E. & Olle Torpman. 2014",http://johanegustafsson.net/papers/in-defence-of-my-favourite-theory.pdf,Moral uncertainty
Normative uncertainty,"MacAskill, William. 2014",http://commonsenseatheism.com/wp-content/uploads/2014/03/MacAskill-Normative-Uncertainty.pdf,Moral uncertainty
Against moral hedging,"Nissan-Rozen, Ittay. 2015",https://www.cambridge.org/core/journals/economics-and-philosophy/article/against-moral-hedging/E818376A231FECAEBFA01A3411A567C0,Moral uncertainty
What to Do When You Don't Know What to Do When You Don't Know What to Do….,"Sepielli, Andrew. 2013",http://onlinelibrary.wiley.com/doi/10.1111/nous.12010/abstract,Moral uncertainty
Running Risks Morally,"Weatherson, Brian 2014",http://link.springer.com/article/10.1007/s11098-013-0227-2,Moral uncertainty
Well-being,"Crisp, R. 2013",http://plato.stanford.edu/entries/well-being/,Well-being
Reasons and persons,"Parfit, Derek. 1984",http://www.oxfordscholarship.com/view/10.1093/019824908X.001.0001/acprof-9780198249085,Well-being
Animal consciousness,"Allen, Colin & Michael Trestman. 2016",http://plato.stanford.edu/entries/consciousness-animal/#summary,Moral patienthood
On the overwhelming importance of the far future,"Beckstead, Nick. 2013",https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxuYmVja3N0ZWFkfGd4OjExNDBjZTcwNjMxMzRmZGE,Moral patienthood
Astronomical waste: the opportunity cost of delayed technological development,"Bostrom, Nick. 2009",http://intelligence.org/files/AstronomicalWaste.pdf,Moral patienthood
The Cambridge declaration on consciousness,Francis Crick Memorial Conference. 2012,http://fcmconference.org/img/CambridgeDeclarationOnConsciousness.pdf,Moral patienthood
The nonidentity problem,"Roberts, M. A. 2015",http://plato.stanford.edu/entries/nonidentity-problem/,Moral patienthood
Do artificial reinforcement-learning agents matter morally?,"Tomasik, Brian. 2014",https://foundational-research.org/files/do-artificial-reinforcement-learning-agents-matter-morally.pdf,Moral patienthood
Artificial consciousness,Wikipedia. 2016,https://en.wikipedia.org/wiki/Artificial_consciousness,Moral patienthood
Value pluralism,"Mason, Elinor. 2011",http://plato.stanford.edu/entries/value-pluralism/,Non-wellbeing sources of value
How to compare global problems in terms of potential for impact,"80,000 Hours. 2016",https://80000hours.org/articles/problem-framework/,Three-factor framework for focus area selection
A list of all our profiles on global problems,"80,000 Hours. 2016",https://80000hours.org/problem-profiles/,Three-factor framework for focus area selection
"Evaluation frameworks, or when importance / neglectedness / tractability doesn't apply","Dickens, Michael. 2016",http://mdickens.me/2016/06/10/evaluation_frameworks_(or-_when_scale-neglectedness-tractability_doesn%27t_apply),Three-factor framework for focus area selection
"Evaluation frameworks, or when importance / neglectedness / tractability doesn't apply","Dickens, Michael. 2016",http://mdickens.me/2016/06/10/evaluation_frameworks_(or-_when_scale-neglectedness-tractability_doesn%27t_apply),"Importance, tractability, neglectedness framework"
The important/neglected/tractable framework needs to be applied with care,"Wiblin, Robert. 2016",http://effective-altruism.com/ea/ss/the_importantneglectedtractable_framework_needs/,"Importance, tractability, neglectedness framework"
Giving What We Can is cause neutral,"Hutchinson, Michelle. 2016",http://effective-altruism.com/ea/wj/giving_what_we_can_is_cause_neutral/,Neutrality in focus area selection
The benefits of cause-neutrality,Sentience Politics. 2016,https://sentience-politics.org/philosophy/the-benefits-of-cause-neutrality/,Neutrality in focus area selection
Differential technological development: some early thinking,"Beckstead, Nick. 2016",http://blog.givewell.org/2015/09/30/differential-technological-development-some-early-thinking/,Differential progress
Existential risks,"Bostrom, Nick. 2002",http://www.nickbostrom.com/existential/risks.html,Differential progress
On progress and prosperity,"Christiano, Paul. 2014",http://effective-altruism.com/ea/9f/on_progress_and_prosperity/,Differential progress
Differential intellectual progress as a positive-sum project,"Tomasik, Brian. 2015",https://foundational-research.org/differential-intellectual-progress-as-a-positive-sum-project/,Differential progress
Differential technological development,Wikipedia. 2016,https://en.wikipedia.org/wiki/Differential_technological_development,Differential progress
Cost-benefit analysis,Wikipedia. 2016,https://en.wikipedia.org/wiki/Cost%E2%80%93benefit_analysis,Cost-benefit analysis
Project overview: problems of unknown difficulty,"Cotton-Barratt, Owen. 2015",http://globalprioritiesproject.org/2015/02/project-overview-problems-of-unknown-difficulty/,Cost-effectiveness analysis
Our criteria for top charities,GiveWell. 2016,http://www.givewell.org/how-we-work/criteria,Cost-effectiveness analysis
Cost-effectiveness analysis,Wikipedia. 2016,https://en.wikipedia.org/wiki/Cost-effectiveness_analysis,Cost-effectiveness analysis
Cost-utility analysis,Wikipedia. 2016,https://en.wikipedia.org/wiki/Cost-utility_analysis,Cost-effectiveness analysis
Pitfalls of the overhead ratio?,"Karnofsky, Holden. 2011",http://blog.givewell.org/2009/05/21/pitfalls-of-the-overhead-ratio/,Relationship between overheads and effectiveness
The worst way to pick a charity,"Karnofsky, Holden. 2012",http://blog.givewell.org/2009/12/01/the-worst-way-to-pick-a-charity/,Relationship between overheads and effectiveness
Loss aversion,Wikipedia. 2016,https://en.wikipedia.org/wiki/Loss_aversion,Opportunity cost
Opportunity cost,Wikipedia. 2016,https://en.wikipedia.org/wiki/Opportunity_cost,Opportunity cost
Replaceability,"Christiano, Paul. 2013",http://effective-altruism.com/ea/44/replaceability/,Replaceability
Replaceability in altruism,"Kuhn, Ben. 2013",http://effective-altruism.com/ea/4w/replaceability_in_altruism/,Replaceability
What does economics tell us about replaceability?,"O'Keeffe-O'Donovan, Rossa. 2014",https://80000hours.org/2014/07/what-does-economics-tell-us-about-replaceability/,Replaceability
The bittersweetness of replaceability,"Rieber, Lila. 2015",http://effective-altruism.com/ea/kt/the_bittersweetness_of_replaceability/,Replaceability
‘Replaceability’ isn’t as important as you might think (or we’ve suggested),"Todd, Benjamin. 2015",https://80000hours.org/2015/07/replaceability-isnt-as-important-as-you-might-think-or-weve-suggested/,Replaceability
Crucial considerations and wise philanthropy,"Bostrom, Nick. 2014",http://www.stafforini.com/blog/bostrom/,Crucial considerations
Crucial considerations,Foundational Research Institute. 2016,http://crucialconsiderations.org/,Crucial considerations
Margins and thinking at the margin,Library of Economics and Liberty. 2016,http://econlib.org/library/Topics/College/margins.html,Thinking at the margin
Cosmopolitanism,"Brown, Eric & Pauline Kleingeld. 2013",http://plato.stanford.edu/entries/cosmopolitanism/,Thinking globally
Cosmopolitanism,"Hallquist, Topher. 2014",http://effective-altruism.com/ea/6w/cosmopolitanism/,Thinking globally
Well-being analysis vs. cost-benefit analysis,"Bronsteen, John, Christopher Buccafusco & Jonathan Masur. 2013",http://scholarship.law.duke.edu/cgi/viewcontent.cgi?article=3389&context=dlj,Measuring healthy life years
Metrics: disability-adjusted life year (DALY),World Health Organization. 2016,http://www.who.int/healthinfo/global_burden_disease/metrics_daly/en/,Measuring healthy life years
Exploring a wellbeing adjusted life year (WELBY),"Davison, Ewan. 2015",https://whatworkswellbeing.org/2015/04/23/exploring-a-wellbeing-adjusted-life-year-welby/,Measuring healthy life years
Value of information,Wikipedia. 2016,https://en.wikipedia.org/wiki/Value_of_information,Value of information
Discounting for uncertainty in health,"Cotton-Barratt, Owen. 2016",http://globalprioritiesproject.org/wp-content/uploads/2015/05/DiscountingHealth.pdf,Discounting the future
Should we discount future health benefits when considering cost-effectiveness?,Ord & Wiblin. 2016,https://www.givingwhatwecan.org/sites/givingwhatwecan.org/files/attachments/discounting-health2.pdf,Discounting the future
Annual effective discount rate,Wikipedia. 2016,https://en.wikipedia.org/wiki/Annual_effective_discount_rate,Discounting the future
Social discount rate,Wikipedia. 2016,https://en.wikipedia.org/wiki/Social_discount_rate,Discounting the future
Comparative bias,Effective Altruism. 2014,http://effective-altruism.com/ea/ah/comparative_bias/,Cognitive biases
Why I’m skeptical about unproven causes (and you should be too),"Hurford, Peter. 2013",http://effective-altruism.com/ea/53/why_im_skeptical_about_unproven_causes_and_you/,Cognitive biases
Heuristics in judgment and decision-making,Wikipedia. 2016,https://en.wikipedia.org/wiki/Heuristics_in_judgment_and_decision-making,Cognitive biases
List of cognitive biases,Wikipedia. 2016,https://en.wikipedia.org/wiki/List_of_cognitive_biases,Cognitive biases
Cognitive biases potentially affecting judgment of global risks,"Yudkowsky, Eliezer. 2008",https://intelligence.org/files/CognitiveBiases.pdf,Cognitive biases
How we evaluate a study,"Karnofsky, Holden. 2016",http://blog.givewell.org/category/randomized-controlled-trials/,Randomized controlled trials
Randomized controlled trial,Wikipedia. 2016,https://en.wikipedia.org/wiki/Randomized_controlled_trial,Randomized controlled trials
Models in science,"Frigg, Roman & Stephan Hartmann. 2012",http://plato.stanford.edu/entries/models-science/,Uncertainty about models
Probing the improbable: methodological challenges for risks with low probabilities and high stakes,"Hillerbrand, Rafaela, Toby Ord & Anders Sandberg. 2016",https://arxiv.org/ftp/arxiv/papers/0810/0810.5515.pdf,Uncertainty about models
Sequence thinking vs. cluster thinking,"Karnofsky, Holden. 2016",http://blog.givewell.org/2014/06/10/sequence-thinking-vs-cluster-thinking/,Uncertainty about models
Why we can’t take expected value estimates literally (even when they’re unbiased),"Karnofsky, Holden. 2016",http://blog.givewell.org/2011/08/18/why-we-cant-take-expected-value-estimates-literally-even-when-theyre-unbiased/,Uncertainty within models
Guesstimate,Guesstimate. No date.,https://www.getguesstimate.com/,Uncertainty within models
Are GiveWell top charities too speculative?,"Dickens, Michael. 2015",http://effective-altruism.com/ea/rg/are_givewell_top_charities_too_speculative/,Tested interventions vs. speculative interventions
Why I’m skeptical about unproven causes (and you should be too),"Hurford, Peter. 2013",http://lesswrong.com/lw/i6f/why_im_skeptical_about_unproven_causes_and_you/,Tested interventions vs. speculative interventions
Gains from trade through compromise,"Tomasik, Brian. 2015",https://foundational-research.org/gains-from-trade-through-compromise/,Moral cooperation
Moral trade,"Ord, Toby. 2015",http://www.amirrorclear.net/files/moral-trade.pdf,Moral trade
Meditations on Moloch,"Alexander, Scott. 2014",http://slatestarcodex.com/2014/07/30/meditations-on-moloch/,Game theory
Game theory,"Ross, Don. 2014",http://plato.stanford.edu/entries/game-theory/,Game theory
Game theory,Wikipedia. 2016,https://en.wikipedia.org/wiki/Game_theory,Game theory
Prisoner's dilemma,Wikipedia. 2016,https://en.wikipedia.org/wiki/Prisoner%27s_dilemma,Game theory
Tragedy of the commons,Wikipedia. 2016,https://en.wikipedia.org/wiki/Tragedy_of_the_commons,Game theory
Nash equilibrium,Wikipedia. 2016,https://en.wikipedia.org/wiki/Nash_equilibrium,Game theory
Voting methods,"Pacuit, Eric. 2011",http://plato.stanford.edu/entries/voting-methods/,Group decision-making
Category:voting,Wikipedia. 2016,https://en.wikipedia.org/wiki/Category:Voting,Group decision-making
Group decision-making,Wikipedia. 2016,https://en.wikipedia.org/wiki/Group_decision-making,Group decision-making
The Unilateralist’s Curse: The Case for a Principle of Conformity,"Bostrom, Nick. 2013",http://www.nickbostrom.com/papers/unilateralist.pdf,Unilateralist’s curse
Winner’s Curse,Wikipedia. 2016,https://en.wikipedia.org/wiki/Winner%27s_curse,Unilateralist’s curse
Should you play to your comparative advantage when choosing your career?,"Todd, Benjamin. 2018",https://80000hours.org/articles/comparative-advantage/,Comparative advantage
My comparative advantage in effective altruism,Aceso Under Glass. 2014,https://acesounderglass.com/2014/12/24/my-comparative-advantage-in-effective-altruism/,Comparative advantage
Some stories about comparative advantage,"Kuhn, Ben. 2014",http://www.benkuhn.net/advantage,Comparative advantage
The value of coordination,"Todd, Benjamin. 2016",https://80000hours.org/2016/02/the-value-of-coordination/,Comparative advantage
Information Hazards,"Bostrom, Nick. 2011",http://www.nickbostrom.com/information-hazards.pdf,Information hazards
Truth and Democracy,"Kitcher, Philip. 2001",http://www.oxfordscholarship.com/view/10.1093/0195145836.001.0001/acprof-9780195145830,Information hazards
What proxies to use for flow-through effects?,Carl Shulman. 2016,http://reflectivedisequilibrium.blogspot.co.uk/2013/12/what-proxies-to-use-for-flow-through.html,Long-term indirect effects
Flow-through effects,Robert Wiblin. 2016,http://library.fora.tv/2016/08/07/flowthrough_effects,Long-term indirect effects
Flow-through effects,Holden Karnosky. 2013,http://blog.givewell.org/2013/05/15/flow-through-effects/,Long-term indirect effects
On progress and prosperity,Paul Christiano. 2015,http://effective-altruism.com/ea/9f/on_progress_and_prosperity/,Long-term indirect effects
Flow through effects conversation,Jeff Kaufman. 2013,https://www.jefftk.com/p/flow-through-effects-conversation,Long-term indirect effects
“Replaceability” isn’t as important as you might think (or we’ve suggested),80’000 Hours. 2015,https://80000hours.org/2015/07/replaceability-isnt-as-important-as-you-might-think-or-weve-suggested/,Naive consequentialism vs. sophisticated consequentialism
Integrity for consequentialists,"Christiano, Paul. 2016",http://effective-altruism.com/ea/140/integrity_for_consequ,Naive consequentialism vs. sophisticated consequentialism
What are the biggest problems in the world?,"80,000 Hours. 2016",https://80000hours.org/articles/cause-selection/,"80,000 Hours’ focus area recommendations"
"80,000 Hours quiz","80,000 Hours. 2016",https://80000hours.org/problem-quiz/,"80,000 Hours’ focus area recommendations"
How can we help the world? A flowchart,"Cotton-Barratt, Owen & Daniel Kokotajlo. 2016",http://globalprioritiesproject.org/2015/09/flowhart/,A flowchart for focus area selection
My cause selection,"Denkenberger, Dave. 2015",http://effective-altruism.com/ea/mi/my_cause_selection_dave_denkenberger/,Other approaches to focus area selection
A complete quantitative model for cause selection,"Dickens, Michael. 2016",http://mdickens.me/2016/05/17/a_complete_quantitative_model_for_cause_selection/,Other approaches to focus area selection
Cause prioritization app,"Dickens, Michael. 2016",http://mdickens.me/causepri-app/#0,Other approaches to focus area selection
My cause selection,"Drescher, Denis. 2015",http://effective-altruism.com/ea/n2/my_cause_selection_denis_drescher/,Other approaches to focus area selection
My cause selection,"Mather, Thomas. 2015",http://effective-altruism.com/ea/n1/my_cause_selection_thomas_mather/,Other approaches to focus area selection
Strategic cause selection,"Karnofsky, Holden. 2012",http://www.openphilanthropy.org/blog/strategic-cause-selection,The Open Philanthropy Project’s focus area selection
Focus areas,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus,The Open Philanthropy Project’s focus area selection
"Transgenic mosquitoes, update Effective Altruism Policy Analytics","Gentzel, Matt. 2016",http://effective-altruism.com/ea/10a/transgenic_mosquitoes_update_effective_altruism/,Malaria control
"CNS infection safety sgnal of RTS,S/AS01 and possible association with rabies vaccine","Gessner, Bradford, David Wraith & Adam Finn. 2016",https://goo.gl/g7Pz29,Malaria control
Mass distribution of long-lasting insecticide-treated nets (LLINs),GiveWell. 2015,http://www.givewell.org/international/technical/programs/insecticide-treated-nets,Malaria control
"Seasonal malaria chemoprevention (SMC), interim intervention report",GiveWell. 2015,http://www.givewell.org/international/technical/programs/seasonal-malaria-chemoprevention,Malaria control
Malaria Consortium,GiveWell. 2016,http://www.givewell.org/international/charities/Malaria-Consortium,Malaria control
Against Malaria Foundation (AMF),GiveWell. 2016,http://www.givewell.org/charities/against-malaria-foundation,Malaria control
Bednets have prevented 450 million cases of malaria,Giving What We Can. 2015,https://www.givingwhatwecan.org/post/2015/12/bednets-have-prevented-450-million-cases-of-malaria/,Malaria control
Foundation for the National Institutes of Health — Working Group on Malaria Gene Drive Testing Path,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus/scientific-research/miscellaneous/foundation-national-institutes-health-working-group,Malaria control
"Public health impact and cost-effectiveness of the RTS, S/AS01 malaria vaccine: a systematic comparison of predictions from four mathematical models",Penny et al. 2016,https://goo.gl/1jxBP1,Malaria control
Parasites,Centers for Disease Control and Prevention. 2013,http://www.cdc.gov/parasites/sth/index.html,Deworming
"Deworming might have huge impact, but might have close to zero impact","Conley, Sean. 2016",http://blog.givewell.org/2016/07/26/deworming-might-huge-impact-might-close-zero-impact/,Deworming
"Does mass deworming affect child nutrition? Meta-analysis, cost-effectiveness, and statistical power","Croke, Kevin et al. 2016",http://www.nber.org/papers/w22382,Deworming
Combination deworming (mass drug administration targeting both schistosomiasis and soil-transmitted helminths),GiveWell. 2015,http://www.givewell.org/international/technical/programs/deworming,Deworming
Priority programs,GiveWell. 2016,http://www.givewell.org/research/intervention-reports#Priorityprograms,Deworming
The case for mass treatment of intestinal helminths in endemic areas,"Hicks, Joan, Michael Kremer & Edward Miguel. 2015",http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0004214,Deworming
What has been learned from the deworming replications: a nonpartisan view,"Humphreys, Macartan. 2015",http://www.columbia.edu/~mh2245/w/worms.html,Deworming
The impact of mass deworming programmes on schooling and economic development: an appraisal of long-term studies,"Jullien, Sophie, David Sinclair & Paul Garner, Paul. 2016",http://archive.lstmed.ac.uk/6105/,Deworming
"Deworming drugs for soil-transmitted intestinal worms in children: effects on nutritional indicators, haemoglobin, and school performance","Taylor-Robinson, David et al. 2015",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000371.pub6/abstract,Deworming
Micronutrient facts,Centers for Disease Control and Prevention. 2015. ,http://www.cdc.gov/immpact/micronutrients/,Micronutrient programs
Food Fortification Initiative,Givewell. 2016,http://www.givewell.org/charities/food-fortification-initiative,Micronutrient programs
Project Healthy Children (PHC),Givewell. 2016,http://www.givewell.org/international/charities/project-healthy-children,Micronutrient programs
Micronutrient fortification,Giving What We Can. 2016,https://www.givingwhatwecan.org/report/micronutrient-fortification/,Micronutrient programs
Cash transfers in the developing world,GiveWell. 2015,http://www.givewell.org/international/technical/programs/cash-transfers,Cash transfers
Priority programs,GiveWell. 2016,http://www.givewell.org/research/intervention-reports#Priorityprograms,Cash transfers
GiveDirectly,GiveWell. 2016,http://www.givewell.org/charities/give-directly,Cash transfers
Allocating risk-mitigation work over time,"Cotton-Barratt, Owen. 2015",http://www.fhi.ox.ac.uk/wp-content/uploads/Allocating-risk-mitigation.pdf,Allocating risk-mitigation work over time
Cause profile: Animal welfare,Centre for Effective Altruism. No date.,https://www.effectivealtruism.org/cause-profile-animal-welfare/,Animal welfare recommendations
Evaluating interventions,Animal Charity Evaluators. 2016,https://animalcharityevaluators.org/approach/evaluating-interventions/,Animal welfare recommendations
Charity reviews,Animal Charity Evaluators. 2016.,https://animalcharityevaluators.org/research/charity-reviews/,Animal Charity Evaluators’ recommendations
Recommended charities,Animal Charity Evaluators. 2016.,https://animalcharityevaluators.org/donation-advice/recommended-charities/,Animal Charity Evaluators’ recommendations
GiveWell’s criteria for top charities,GiveWell. 2016,http://www.givewell.org/how-we-work/criteria,GiveWell’s recommendations
Process for identifying top charities,GiveWell. 2016,http://www.givewell.org/how-we-work/process,GiveWell’s recommendations
Transparency policy,GiveWell. 2016,http://www.givewell.org/how-we-work/transparency,GiveWell’s recommendations
Good Ventures,Good Ventures. 2016,http://www.goodventures.org/,GiveWell’s recommendations
GiveWell’s process,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/our-process,GiveWell’s recommendations
